掉落包Id,掉落道具1,掉落道具1概率
configId,dropItems,probability
1700001,132004,10000
1701011,133058,3800
1701012,133136,4000
1701013,133032,2500
1701021,133058,3800
1701022,133136,4000
1701023,133032,2500
1701031,133058,3800
1701032,133136,4000
1701033,133032,2500
1701041,133058,3800
1701042,133136,4000
1701043,133032,2500
1701051,133058,3800
1701052,133136,4000
1701053,133032,2500
1701061,133058,3800
1701062,133136,4000
1701063,133032,2500
1701071,133058,3800
1701072,133136,4000
1701073,133032,2500
1701081,133058,3800
1701082,133136,4000
1701083,133032,2500
1701091,133058,3800
1701092,133136,4000
1701093,133032,2500
1702011,133059,3800
1702012,133136,4000
1702013,133032,2500
1702021,133059,3800
1702022,133136,4000
1702023,133032,2500
1702031,133059,3800
1702032,133136,4000
1702033,133032,2500
1702041,133059,3800
1702042,133136,4000
1702043,133032,2500
1702051,133059,3800
1702052,133136,4000
1702053,133032,2500
1702061,133059,3800
1702062,133136,4000
1702063,133032,2500
1702071,133059,3800
1702072,133136,4000
1702073,133032,2500
1702081,133059,3800
1702082,133136,4000
1702083,133032,2500
1702091,133059,3800
1702092,133059,5000
1702093,133059,5000
1703011,133059,7000
1703012,133059,7000
1703013,133059,7000
1703021,133054,6000
1703022,133054,6000
1703023,133054,6000
1703031,133059,7000
1703032,133059,7000
1703033,133059,7000
1703041,133054,6000
1703042,133054,6000
1703043,133054,6000
1703051,133059,7000
1703052,133059,7000
1703053,133059,7000
1703061,133054,6000
1703062,133054,6000
1703063,133054,6000
1703071,133059,7000
1703072,133059,7000
1703073,133059,7000
1703081,133054,6000
1703082,133054,6000
1703083,133054,6000
1703091,133059,7000
1703092,133059,7000
1703093,133059,7000
1704011,133058,7000
1704012,133059,8000
1704013,133054,7000
1704021,133058,7000
1704022,133059,8000
1704023,133054,7000
1704031,133058,7000
1704032,133059,8000
1704033,133054,7000
1704041,133058,7000
1704042,133059,8000
1704043,133054,7000
1704051,133058,7000
1704052,133059,8000
1704053,133054,7000
1704061,133058,7000
1704062,133059,8000
1704063,133054,7000
1704071,133058,7000
1704072,133059,8000
1704073,133054,7000
1704081,133058,7000
1704082,133059,8000
1704083,133054,7000
1704091,133058,7000
1704092,133059,8000
1704093,133054,7000
1705011,133130,7000
1705012,133133,8000
1705013,133137,7000
1705021,133130,7000
1705022,133133,8000
1705023,133137,7000
1705031,133130,7000
1705032,133133,8000
1705033,133137,7000
1705041,133130,7000
1705042,133133,8000
1705043,133137,7000
1705051,133130,7000
1705052,133133,8000
1705053,133137,7000
1705061,133130,7000
1705062,133133,8000
1705063,133137,7000
1705071,133130,7000
1705072,133133,8000
1705073,133137,7000
1705081,133130,7000
1705082,133133,8000
1705083,133137,7000
1705091,133130,7000
1705092,133133,8000
1705093,133137,7000
17201,133058,10000
17202,133058,10000
17203,133058,10000
17204,133058,10000
17205,133058,10000
17206,131088,5000
17207,131092,5000
17208,131104,5000
17209,131091,5000
17210,131095,5000
17211,131107,5000
17212,131061,5000
17213,131062,5000
17214,131077,5000
17215,131078,5000
