object_list,,,,,,,,,,,,,
语言包key,按表进行分类,中文简体,中文简体,英文,英文,英文,英文,,,,,,
configId,type,*name,*desc,name,desc,en_effect,en_effect_desc,,,,,,
100000001,tollgates,无极幻境,,Blitz Acres,Blitz Acres,,,,,,,,
100110111,tollgates,草原1,欢迎归来…我的英雄！拉诺菲能加冕你为救世主显然有道理！现在…让我们看看当下的局面！近些天残恶至极的【地精】已经将我们的【城邦国度】团团包围，然而你面临的第一个考验则是将他们逐一扼杀在沿途之中！祝你好运！,Citopolis Gate,The orcs that have laid siege to Citopolis have come to the gates to defend the captured city.,,,,,,,,
100110211,tollgates,草原2,在我看来这一切只不过是【兽人部落】的试探，真正的恶战已经不远了！我刚才得到情报，【兽人】已经驻扎在【南部港口】他们还集结了大批精兵强将策应支持…而现在，他们的先头部队已经逼近我们。去修一条快速有效的防御措施，制止这群野蛮人的入侵。,Citopolis Center,The orcs underestimated us and left most of their fighting in force in the city center. Root out the invaders!,,,,,,,,
100110311,tollgates,草原3,,Citopolis Back way,Hans' scouts have spotted a witch doc escort flanking our forces in the east. We must prepare the defenses!,,,,,,,,
100110411,tollgates,草原4,,Circa Lake,Orcs have surrounded the town of Circa Lake. We must not let the orcs ravage the innocent citizens of the town.,,,,,,,,
100110511,tollgates,草原5,我的英雄！当你征战在沙场时，一个更加糟糕的消息就此而来！“如果你收到这封信，请务必请求增援至【袁野之地】，我们这里正在遭受【巫医】压倒性的围攻，可能随时有被吞没的厄运…”,Circa Field,"Circa Field, usually a quiet, serene place is now filled with the hustle and bustle of the orc's wild boars.",,,,,,,,
100110611,tollgates,草原6,,Scenta Town,The townsfolk of Scenta Town have fled. all that remains is the skeletons and rubble of the orc-ravaged town.,,,,,,,,
100110711,tollgates,草原7,,Mystical Forest,"With Scenta once again under Azylon control, our forces can push towards the Mystical Forest guarding Canine Fortress.",,,,,,,,
100110811,tollgates,草原8,【嗜血飞龙】的足迹已经遍布这里…可以说，走过的地方已经沦为了废墟！国王的焦虑已经成为了愤怒。愿下一座城池未失手之前加大防御力度，绝对不能让敌人踏进我们的圣土——极乐园,Canine Fortress,The Grasslands are all but cleared. Only Canine Fortress and it's reigning champion Wolfbane still stands.,,,,,,,,
100210111,tollgates,雪原1,极乐园一战让我们的士气大大提升…与此同时，前方的侦察员也带来重要密报。情报一：我们的全新兵种已经在赶来的路上，情报二：这群笨蛋却走错了方向！勇士们…装备上你们的铠甲，接下来的战役将在【双木林】打响！而你们面对的则是残忍至极的【雪原土著战士】！,Tundra Tribes,Rizza's network has heard rumors that there is a corruption plaguing the Tundra. It could be an orc ploy.,,,,,,,,
100210211,tollgates,雪原2,,Ice Ridge,Demons! They are the cause of the corruption. But it seems more than coincidence that an orc invasion and the rise of demons would coincide.,,,,,,,,
100210311,tollgates,雪原3,国王为你们而骄傲，居然在没有XXXX（新兵种）的增援下都能够凯旋而归…我刚得到密报，【雪原土著酋长】似乎是被更为邪恶力量的洗礼！就现在看来他们的实力似乎有了更为强势的提升…即便事态严峻，我们也不能就此退缩，一定要将他们狙击在【勇者峡谷】中。,Frosty Path,"Whoever is behind all this is very powerful, the King of the Tundra, the Heart of Winter, has been corrupted into madness.",,,,,,,,
100210411,tollgates,雪原4,,Ursa Lair,The cave has an ominous feeling to it. We can't risk leaving it unattended and having it come bite us in the rear.,,,,,,,,
100210511,tollgates,雪原5,我的勇士，感谢你毫不吝啬的付出…现在摆在我们眼前的，已经不简简单单是击溃敌人了！我刚接到国王的密令，他要我们在最短的时间内，在距离城邦三十英里的【冰风谷】内架设防御措施，为的就是低于【雪人】的入侵。,Howling Ravine,"The Howling Ravine is named after it's howling winds but the howling you hear today is not wind, nor is it wolves… it's something very angry.",,,,,,,,
100210611,tollgates,雪原6,,Frigid Coast,"The Frost army sounds a bugle from across the sea, their ships of unmelting ice appear along hill crest.",,,,,,,,
100210711,tollgates,雪原7,,Furnace Valley,"A long valley, you must first defeat the inhabitants and guardians here if you want to reach the Heart of Winter.",,,,,,,,
100210811,tollgates,雪原8,【绝望矿坑】已经被不少人所遗忘，当年不知道有多少人惨死在这漫漫淘金的路上…可谁都不曾想到，这废弃的矿坑居然被【寒冬野猪】利用，并依靠复活法术，唤醒了那些沉睡百年的亡灵死士！不要以为这群白花花的骷髅可以轻易对付…恐怕只有当你亲眼目睹时，才能深有体会！,Storm Hold,"What little hope you had of the Heart of Winter of not being tainted, is gone as you see nothing but cold fury in it's eyes.",,,,,,,,
100310111,tollgates,熔岩1,部队已经在【牺牲深渊】！迷失了好多天，行军干粮恐怕也坚持不了多久！听随军法师说，【小恶魔】专门运用一些古老的法术蒙蔽敌人的双眼！在我看来，眼前的这一切肯定是最为贴切的谎言。,Old Country,"Despite it's name, the Lava Plains have been a peaceful place but your view from the Tundra plateau shows something has changed.",,,,,,,,
100310211,tollgates,熔岩2,,Fauna Forge,"The plains are alive with demon work, the native fauna all deserted or enslaved.",,,,,,,,
