技能Id,中文名,法术释放方式,法系,技能等级,法阵ID,直接效果,主buff,攻击类型,法术范围,法术CD,持续时间,对空地,升级材料ID,进阶材料ID,法术使用积分,法术使用,图标使用,附加资源ID,冷却时间,进阶冷却时间
configId,*name,releaseWay,type,level,cursorId,effect,buff,atkType,range,cdTime,duration,canAirFight,upgradeCostItems,advancedCostItems,rewardScore,resId,iconId,otherResIds,coolTime,adCoolTime
210101,援军,2,1,1,1,summon:12101-2,,,0,10000,20000,1,888888:100,,1,,210101,,0,0
210102,援军,2,1,2,1,summon:12102-2,,,0,10000,20000,1,888888:100,,1,,210101,,0,0
210103,援军,2,1,3,1,summon:12103-2,,,0,10000,20000,1,888888:100,,1,,210101,,0,0
210104,援军,2,1,4,1,summon:12104-2,,,0,10000,20000,1,888888:100,,1,,210101,,0,0
210105,援军,2,1,5,1,summon:12105-2,,,0,10000,20000,1,888888:100,,1,,210101,,0,0
210106,援军,2,1,6,1,summon:12119-2,,,0,10000,20000,1,888888:100;133046:1,,1,,210101,,30,0
210107,援军,2,1,7,1,summon:12120-2,,,0,10000,20000,1,133046:1,,1,,210101,,60,0
210108,援军,2,1,8,1,summon:12121-2,,,0,10000,20000,1,133046:2,,1,,210101,,60,0
210109,援军,2,1,9,1,summon:12122-2,,,0,10000,20000,1,133046:2,,1,,210101,,120,0
210110,援军,2,1,10,1,summon:12123-2,,,0,10000,20000,1,133046:3,,1,,210101,,120,0
210111,援军,2,1,11,1,summon:12124-2,,,0,10000,20000,1,133046:3;133044:1,,1,,210101,,300,0
210112,援军,2,1,12,1,summon:12125-2,,,0,10000,20000,1,133046:5;133044:2,,1,,210101,,300,0
210113,援军,2,1,13,1,summon:12126-2,,,0,10000,20000,1,133046:7;133044:3,,1,,210101,,300,0
210114,援军,2,1,14,1,summon:12127-2,,,0,10000,20000,1,133046:9;133044:4,,1,,210101,,300,0
210115,援军,2,1,15,1,summon:12128-2,,,0,10000,20000,1,133046:11;133044:5,,1,,210101,,300,0
210116,援军,2,1,16,1,summon:12129-2,,,0,10000,20000,1,133046:13;133044:6,,1,,210101,,300,0
210117,援军,2,1,17,1,summon:12130-2,,,0,10000,20000,1,133046:15;133044:7,,1,,210101,,300,0
210118,援军,2,1,18,1,summon:12131-2,,,0,10000,20000,1,133046:17;133044:8,,1,,210101,,300,0
210119,援军,2,1,19,1,summon:12132-2,,,0,10000,20000,1,133046:19;133044:9,,1,,210101,,300,0
210120,援军,2,1,20,1,summon:12133-2,,,0,10000,20000,1,133046:21;133044:10,,1,,210101,,300,0
210121,援军,2,1,21,1,summon:12134-2,,,0,10000,20000,1,133046:23;133044:12;133048:10,,1,,210101,,300,0
210122,援军,2,1,22,1,summon:12135-2,,,0,10000,20000,1,133046:25;133044:14;133048:11,,1,,210101,,300,0
210123,援军,2,1,23,1,summon:12136-2,,,0,10000,20000,1,133046:27;133044:16;133048:12,,1,,210101,,300,0
210124,援军,2,1,24,1,summon:12137-2,,,0,10000,20000,1,133046:29;133044:18;133048:13,,1,,210101,,300,0
210125,援军,2,1,25,1,summon:12138-2,,,0,10000,20000,1,133046:31;133044:20;133048:14,,1,,210101,,300,0
210126,援军,2,1,26,1,summon:12139-2,,,0,10000,20000,1,133046:33;133044:22;133048:15,,1,,210101,,300,0
210127,援军,2,1,27,1,summon:12140-2,,,0,10000,20000,1,133046:36;133044:24;133048:16,,1,,210101,,300,0
210128,援军,2,1,28,1,summon:12141-2,,,0,10000,20000,1,133046:39;133044:26;133048:17,,1,,210101,,300,0
210129,援军,2,1,29,1,summon:12142-2,,,0,10000,20000,1,133046:42;133044:28;133048:18,,1,,210101,,300,0
210130,援军,2,1,30,1,summon:12143-2,,,0,10000,20000,1,133046:45;133044:30;133048:19,,1,,210101,,300,0
210131,援军,2,1,31,1,summon:12144-2,,,0,10000,20000,1,133140:48;133143:32;133146:20,,1,,210101,,1800,0
210132,援军,2,1,32,1,summon:12145-2,,,0,10000,20000,1,133140:51;133143:34;133146:21,,1,,210101,,1800,0
210133,援军,2,1,33,1,summon:12146-2,,,0,10000,20000,1,133140:54;133143:36;133146:22,,1,,210101,,1800,0
210134,援军,2,1,34,1,summon:12147-2,,,0,10000,20000,1,133140:57;133143:38;133146:23,,1,,210101,,1800,0
210135,援军,2,1,35,1,summon:12148-2,,,0,10000,20000,1,133140:60;133143:40;133146:24,,1,,210101,,1800,0
210136,援军,2,1,36,1,summon:12149-2,,,0,10000,20000,1,133140:60;133143:42;133146:25,,1,,210101,,1800,0
210137,援军,2,1,37,1,summon:12150-2,,,0,10000,20000,1,133140:60;133143:44;133146:26,,1,,210101,,1800,0
210138,援军,2,1,38,1,summon:12151-2,,,0,10000,20000,1,133140:60;133143:46;133146:27,,1,,210101,,1800,0
210139,援军,2,1,39,1,summon:12152-2,,,0,10000,20000,1,133140:60;133143:48;133146:28,,1,,210101,,1800,0
210140,援军,2,1,40,1,summon:12153-2,,,0,10000,20000,1,133140:60;133143:50;133146:29,,1,,210101,,1800,0
210141,援军,2,1,41,1,summon:12154-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210142,援军,2,1,42,1,summon:12155-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210143,援军,2,1,43,1,summon:12156-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210144,援军,2,1,44,1,summon:12157-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210145,援军,2,1,45,1,summon:12158-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210146,援军,2,1,46,1,summon:12159-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210147,援军,2,1,47,1,summon:12160-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210148,援军,2,1,48,1,summon:12161-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210149,援军,2,1,49,1,summon:12162-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210150,援军,2,1,50,1,summon:12163-2,,,0,10000,20000,1,133141:65;133144:50;133147:30,,1,,210101,,3600,0
210151,援军,2,1,51,1,summon:12164-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210152,援军,2,1,52,1,summon:12165-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210153,援军,2,1,53,1,summon:12166-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210154,援军,2,1,54,1,summon:12167-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210155,援军,2,1,55,1,summon:12168-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210156,援军,2,1,56,1,summon:12169-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210157,援军,2,1,57,1,summon:12170-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210158,援军,2,1,58,1,summon:12171-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210159,援军,2,1,59,1,summon:12172-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210160,援军,2,1,60,1,summon:12173-2,,,0,10000,20000,1,133142:70;133145:55;133148:35,,1,,210101,,7200,0
210201,皇家卫士,2,2,1,1,summon:12174-2,,,0,10000,20000,1,,133032:20,1,,210201,,0,0
210202,皇家卫士,2,2,2,1,summon:12175-2,,,0,10000,20000,1,,133032:20,1,,210201,,0,0
210203,皇家卫士,2,2,3,1,summon:12176-2,,,0,10000,20000,1,,133032:20,1,,210201,,0,0
210204,皇家卫士,2,2,4,1,summon:12177-2,,,0,10000,20000,1,,133032:20,1,,210201,,0,0
210205,皇家卫士,2,2,5,1,summon:12178-2,,,0,10000,20000,1,,133032:20,1,,210201,,0,0
210206,皇家卫士,2,2,6,1,summon:12179-2,,,0,10000,20000,1,133046:1,133032:20,1,,210201,,30,0
210207,皇家卫士,2,2,7,1,summon:12180-2,,,0,10000,20000,1,133046:1,133032:20,1,,210201,,60,0
210208,皇家卫士,2,2,8,1,summon:12181-2,,,0,10000,20000,1,133046:2,133032:20,1,,210201,,60,0
210209,皇家卫士,2,2,9,1,summon:12182-2,,,0,10000,20000,1,133046:2,133032:20,1,,210201,,120,0
210210,皇家卫士,2,2,10,1,summon:12183-2,,,0,10000,20000,1,133046:3,133032:20,1,,210201,,120,0
210211,皇家卫士,2,2,11,1,summon:12184-2,,,0,10000,20000,1,133046:3;133044:1,133032:20,1,,210201,,300,0
210212,皇家卫士,2,2,12,1,summon:12185-2,,,0,10000,20000,1,133046:5;133044:2,133032:20,1,,210201,,300,0
210213,皇家卫士,2,2,13,1,summon:12186-2,,,0,10000,20000,1,133046:7;133044:3,133032:20,1,,210201,,300,0
210214,皇家卫士,2,2,14,1,summon:12187-2,,,0,10000,20000,1,133046:9;133044:4,133032:20,1,,210201,,300,0
210215,皇家卫士,2,2,15,1,summon:12188-2,,,0,10000,20000,1,133046:11;133044:5,133032:20,1,,210201,,300,0
210216,皇家卫士,2,2,16,1,summon:12189-2,,,0,10000,20000,1,133046:13;133044:6,133032:20,1,,210201,,300,0
210217,皇家卫士,2,2,17,1,summon:12190-2,,,0,10000,20000,1,133046:15;133044:7,133032:20,1,,210201,,300,0
210218,皇家卫士,2,2,18,1,summon:12191-2,,,0,10000,20000,1,133046:17;133044:8,133032:20,1,,210201,,300,0
210219,皇家卫士,2,2,19,1,summon:12192-2,,,0,10000,20000,1,133046:19;133044:9,133032:20,1,,210201,,300,0
210220,皇家卫士,2,2,20,1,summon:12193-2,,,0,10000,20000,1,133046:21;133044:10,133032:20,1,,210201,,300,0
210221,皇家卫士,2,2,21,1,summon:12194-2,,,0,10000,20000,1,133046:23;133044:12;133048:10,133032:20,1,,210201,,300,0
210222,皇家卫士,2,2,22,1,summon:12195-2,,,0,10000,20000,1,133046:25;133044:14;133048:11,133032:20,1,,210201,,300,0
210223,皇家卫士,2,2,23,1,summon:12196-2,,,0,10000,20000,1,133046:27;133044:16;133048:12,133032:20,1,,210201,,300,0
210224,皇家卫士,2,2,24,1,summon:12197-2,,,0,10000,20000,1,133046:29;133044:18;133048:13,133032:20,1,,210201,,300,0
