士兵Id,中文名称,类型,资源ID,名字ID,搜索范围,武器,基础攻击,最大攻击,生命血量,攻击范围,攻击类型,溅射范围,物理防御,魔法防御,攻击CD时间,移动速度,复活时间,技能配置,模型大小,是否可召唤
configId,*SoldierName,type,resId,descId,searchArea,weapon,minAtk,maxAtk,life,atkArea,attacktype,atkRange,physicDef,magicDef,atkInterval,moveSpd,rebirthTime,skills,size,canSummon
12101,援军,1,12101,12101,,,38 ,75 ,1000,0,1,,0,0,1000,70,,154083,1,0
12102,援军,1,12101,12101,,,42 ,84 ,1040,0,1,,0,0,1000,70,,154083,1,0
12103,援军,1,12101,12101,,,47 ,93 ,1080,0,1,,0,0,1000,70,,154083,1,0
12104,援军,1,12101,12101,,,51 ,103 ,1120,0,1,,0,0,1000,70,,154083,1,0
12105,援军,1,12101,12101,,,56 ,112 ,1160,0,1,,0,0,1000,70,,154083,1,0
12119,援军,1,12101,12101,,,61 ,122 ,1200,0,1,,0,0,1000,70,,154083,1,0
12120,援军,1,12101,12101,,,65 ,131 ,1240,0,1,,0,0,1000,70,,154083,1,0
12121,援军,1,12101,12101,,,70 ,140 ,1280,0,1,,0,0,1000,70,,154083,1,0
12122,援军,1,12101,12101,,,75 ,150 ,1320,0,1,,0,0,1000,70,,154083,1,0
12123,援军,1,12101,12101,,,80 ,159 ,1360,0,1,,0,0,1000,70,,154083,1,0
12124,援军,1,12101,12101,,,84 ,168 ,1400,0,1,,0,0,1000,70,,154083,1,0
12125,援军,1,12101,12101,,,89 ,178 ,1440,0,1,,0,0,1000,70,,154083,1,0
12126,援军,1,12101,12101,,,94 ,187 ,1480,0,1,,0,0,1000,70,,154083,1,0
12127,援军,1,12101,12101,,,98 ,197 ,1520,0,1,,0,0,1000,70,,154083,1,0
12128,援军,1,12101,12101,,,103 ,206 ,1560,0,1,,0,0,1000,70,,154083,1,0
12129,援军,1,12101,12101,,,108 ,215 ,1600,0,1,,0,0,1000,70,,154083,1,0
12130,援军,1,12101,12101,,,112 ,225 ,1640,0,1,,0,0,1000,70,,154083,1,0
12131,援军,1,12101,12101,,,117 ,234 ,1680,0,1,,0,0,1000,70,,154083,1,0
12132,援军,1,12101,12101,,,122 ,243 ,1720,0,1,,0,0,1000,70,,154083,1,0
12133,援军,1,12101,12101,,,126 ,253 ,1760,0,1,,0,0,1000,70,,154083,1,0
12134,援军,1,12101,12101,,,131 ,262 ,1800,0,1,,0,0,1000,70,,154083,1,0
12135,援军,1,12101,12101,,,136 ,272 ,1840,0,1,,0,0,1000,70,,154083,1,0
12136,援军,1,12101,12101,,,140 ,281 ,1880,0,1,,0,0,1000,70,,154083,1,0
12137,援军,1,12101,12101,,,145 ,290 ,1920,0,1,,0,0,1000,70,,154083,1,0
12138,援军,1,12101,12101,,,150 ,300 ,1960,0,1,,0,0,1000,70,,154083,1,0
12139,援军,1,12101,12101,,,155 ,309 ,2000,0,1,,0,0,1000,70,,154083,1,0
12140,援军,1,12101,12101,,,159 ,318 ,2040,0,1,,0,0,1000,70,,154083,1,0
12141,援军,1,12101,12101,,,164 ,328 ,2080,0,1,,0,0,1000,70,,154083,1,0
12142,援军,1,12101,12101,,,169 ,337 ,2120,0,1,,0,0,1000,70,,154083,1,0
12143,援军,1,12101,12101,,,173 ,347 ,2160,0,1,,0,0,1000,70,,154083,1,0
12144,援军,1,12101,12101,,,178 ,356 ,2200,0,1,,0,0,1000,70,,154083,1,0
12145,援军,1,12101,12101,,,183 ,365 ,2240,0,1,,0,0,1000,70,,154083,1,0
12146,援军,1,12101,12101,,,187 ,375 ,2280,0,1,,0,0,1000,70,,154083,1,0
12147,援军,1,12101,12101,,,192 ,384 ,2320,0,1,,0,0,1000,70,,154083,1,0
12148,援军,1,12101,12101,,,197 ,393 ,2360,0,1,,0,0,1000,70,,154083,1,0
12149,援军,1,12101,12101,,,201 ,403 ,2400,0,1,,0,0,1000,70,,154083,1,0
12150,援军,1,12101,12101,,,206 ,412 ,2440,0,1,,0,0,1000,70,,154083,1,0
12151,援军,1,12101,12101,,,211 ,422 ,2480,0,1,,0,0,1000,70,,154083,1,0
12152,援军,1,12101,12101,,,215 ,431 ,2520,0,1,,0,0,1000,70,,154083,1,0
12153,援军,1,12101,12101,,,220 ,440 ,2560,0,1,,0,0,1000,70,,154083,1,0
12154,援军,1,12101,12101,,,225 ,450 ,2600,0,1,,0,0,1000,70,,154083,1,0
12155,援军,1,12101,12101,,,230 ,459 ,2640,0,1,,0,0,1000,70,,154083,1,0
12156,援军,1,12101,12101,,,234 ,468 ,2680,0,1,,0,0,1000,70,,154083,1,0
12157,援军,1,12101,12101,,,239 ,478 ,2720,0,1,,0,0,1000,70,,154083,1,0
12158,援军,1,12101,12101,,,244 ,487 ,2760,0,1,,0,0,1000,70,,154083,1,0
12159,援军,1,12101,12101,,,248 ,497 ,2800,0,1,,0,0,1000,70,,154083,1,0
12160,援军,1,12101,12101,,,253 ,506 ,2840,0,1,,0,0,1000,70,,154083,1,0
12161,援军,1,12101,12101,,,258 ,515 ,2880,0,1,,0,0,1000,70,,154083,1,0
12162,援军,1,12101,12101,,,262 ,525 ,2920,0,1,,0,0,1000,70,,154083,1,0
12163,援军,1,12101,12101,,,267 ,534 ,2960,0,1,,0,0,1000,70,,154083,1,0
12164,援军,1,12101,12101,,,272 ,543 ,3000,0,1,,0,0,1000,70,,154083,1,0
12165,援军,1,12101,12101,,,276 ,553 ,3040,0,1,,0,0,1000,70,,154083,1,0
12166,援军,1,12101,12101,,,281 ,562 ,3080,0,1,,0,0,1000,70,,154083,1,0
12167,援军,1,12101,12101,,,286 ,572 ,3120,0,1,,0,0,1000,70,,154083,1,0
12168,援军,1,12101,12101,,,290 ,581 ,3160,0,1,,0,0,1000,70,,154083,1,0
12169,援军,1,12101,12101,,,295 ,590 ,3200,0,1,,0,0,1000,70,,154083,1,0
12170,援军,1,12101,12101,,,300 ,600 ,3240,0,1,,0,0,1000,70,,154083,1,0
12171,援军,1,12101,12101,,,305 ,609 ,3280,0,1,,0,0,1000,70,,154083,1,0
12172,援军,1,12101,12101,,,309 ,618 ,3320,0,1,,0,0,1000,70,,154083,1,0
12173,援军,1,12101,12101,,,314 ,628 ,3360,0,1,,0,0,1000,70,,154083,1,0
12174,皇家卫士,1,12104,12174,,,75 ,113 ,1800,0,1,,10,0,1000,70,,154083,1,0
12175,皇家卫士,1,12104,12174,,,84 ,126 ,1850,0,1,,10,0,1000,70,,154083,1,0
12176,皇家卫士,1,12104,12174,,,93 ,140 ,1900,0,1,,10,0,1000,70,,154083,1,0
