object_list,小波次表,,,,,,,,,
怪物组Id,跑道类型,出场次数,间隔时间,开始时间,出口跑道编号,怪物Id,怪物数量,关卡ID,,
configId,roadType,times,interval,startTime,roadIndex,monsterTypeId,monsterCount,*tollId,,
101,0,2,5000,2000,0,141001,2,1,,
201,0,3,4000,2000,0,141001,3,1,,
301,0,4,3000,2000,0,141001,4,1,,
401,0,1,3000,2000,0,141002,1,1,,
110101,0,5,500,2000,0,141001,8,1,,
110201,0,3,500,2000,0,141008,3,1,,
110202,0,3,500,6000,0,141001,3,1,,
110301,0,3,800,2000,0,141008,5,1,,
110302,0,3,500,4500,0,141001,3,1,,
110303,0,3,200,10000,0,141008,5,1,,
110401,0,6,200,2000,0,141001,8,1,,
110402,0,1,2500,7000,0,141002,1,1,,
110403,0,3,200,10000,0,141001,3,1,,
110501,0,2,1500,2000,0,141002,2,1,,
110502,0,5,200,6000,0,141001,7,1,,
110503,0,2,1000,8000,0,141002,2,1,,
110504,0,3,200,11000,0,141001,3,1,,
110601,0,3,1500,2000,0,141002,3,1,,
110602,0,3,1500,6500,0,141002,3,1,,
110603,0,1,1500,11500,0,141002,1,1,,
110604,0,7,500,14000,0,141001,10,1,,
210101,0,3,3000,2000,0,141002,3,2,,
210102,0,6,1000,12000,0,141001,6,2,,
210103,0,3,3000,23000,0,141002,3,2,,
210201,0,6,1000,2000,0,141001,8,2,,
210202,0,3,3000,12000,0,141002,3,2,,
210203,0,6,600,25000,0,141001,6,2,,
210301,0,2,1000,2000,0,141001,2,2,,
210302,0,6,3000,8000,0,141008,6,2,,
210401,0,4,2000,2000,0,141008,6,2,,
210402,0,12,1000,10000,0,141001,14,2,,
210501,0,2,2000,2000,0,141002,2,2,,
210502,0,1,1000,7000,0,141005,1,2,,
210503,0,3,1000,10000,0,141002,3,2,,
210504,0,3,1000,17000,0,141002,3,2,,
210601,0,2,600,2000,0,141005,2,2,,
210602,0,3,600,5000,0,141002,3,2,,
210603,0,3,600,9000,0,141002,3,2,,
210604,0,4,1000,15000,0,141008,4,2,,
210605,0,4,1000,25000,0,141008,4,2,,
210701,0,15,500,2000,0,141001,15,2,,
210702,0,8,1000,12000,0,141008,8,2,,
210703,0,3,1000,23000,0,141005,3,2,,
210704,0,4,1000,28000,0,141002,5,2,,
310101,0,5,300,2000,0,141001,5,1,,
310102,0,5,300,10000,0,141001,5,,,
310103,0,8,300,18000,0,141001,10,,,
310201,0,8,200,2000,0,141001,8,1,,
310202,0,8,200,8000,0,141001,8,1,,
310203,0,8,200,14000,0,141001,8,,,
310301,0,2,2000,2000,0,141002,2,1,,
310302,0,11,300,3000,0,141001,11,1,,
310303,0,2,800,15000,0,141002,2,,,
310401,0,3,2000,2000,0,141008,3,1,,
310402,0,3,2000,9000,0,141008,3,1,,
310501,0,6,2000,2000,0,141002,6,1,,
310502,0,10,500,14000,0,141001,10,1,,
310503,0,10,500,25000,0,141001,10,,,
310601,0,6,2000,2000,0,141002,6,1,,
310602,0,3,1000,15000,0,141008,3,1,,
310603,0,10,500,20000,0,141001,10,1,,
310604,0,3,500,28000,0,141008,3,,,
310701,0,5,1000,2000,0,141008,5,,,
310702,0,5,1000,10000,0,141008,5,,,
310703,0,10,500,20000,0,141002,10,,,
310704,0,20,500,28000,0,141001,20,,,
410101,0,10,1000,2000,1,141001,10,2,,
410102,0,20,1000,15000,1,141001,20,,,
410201,0,4,1500,2000,0,141008,4,2,,
410202,0,6,1500,10000,0,141008,6,2,,
410301,0,20,1000,2000,1,141001,20,2,,
410302,0,5,2000,27000,1,141002,5,2,,
410401,0,2,4000,2000,0,141065,2,2,,
410501,0,3,3000,2000,0,141008,3,2,,
410502,0,3,2000,2000,1,141002,3,2,,
410503,0,6,3000,12000,0,141008,6,2,,
410504,0,20,1000,12000,1,141001,20,2,,
410505,0,3,2000,37000,1,141002,3,,,
410601,0,4,3000,2000,0,141008,4,2,,
410602,0,6,2000,2000,1,141064,6,2,,
410603,0,4,3000,12000,0,141008,4,2,,
410604,0,6,1000,12000,1,141064,6,2,,
410605,0,1,2000,37000,0,141065,1,2,,
410701,0,4,3000,2000,0,141065,4,,,
410702,0,10,2000,3000,1,141064,10,,,
410703,0,8,2000,24000,1,141002,8,,,
410801,0,6,1000,2000,1,141002,6,,,
410802,0,10,2000,3000,0,141008,10,,,
410803,0,10,1000,10000,1,141064,10,,,
410804,0,3,1500,20000,0,141065,3,,,
410805,0,6,1000,22000,1,141002,6,,,
410806,0,10,1000,28000,0,141008,10,,,
510101,0,15,1000,2000,0,141001,15,3,,
510102,0,15,1000,2000,1,141001,15,3,,
510103,0,15,1000,20000,0,141001,15,3,,
510104,0,15,1000,20000,1,141001,15,,,
510201,0,10,1000,2000,1,141002,10,3,,
510202,0,10,800,16000,1,141002,10,3,,
510301,0,4,3000,2000,1,141065,4,3,,
510302,0,4,3000,18000,1,141065,4,3,,
510401,0,6,1000,2000,1,141008,6,3,,
510402,0,30,500,2000,0,141001,30,3,,
510403,0,6,1000,10000,1,141008,6,3,,
510404,0,6,1000,20000,1,141008,6,,,
510405,0,6,1000,30000,1,141064,6,,,
510406,0,8,1000,34000,0,141008,8,,,
510501,0,3,5000,2000,1,141009,3,3,,
510601,0,6,1000,2000,0,141065,6,3,,
510602,0,3,3000,10000,0,141009,3,3,,
510701,0,20,1000,2000,0,141064,20,,,
510702,0,6,3000,2000,1,141065,6,,,
510703,0,20,500,24000,0,141064,20,,,
510704,0,6,2000,30000,1,141065,6,,,
510801,0,12,1000,2000,0,141002,12,,,
510802,0,20,1000,2000,1,141008,20,,,
510803,0,15,1000,17000,0,141064,15,,,
510804,0,5,5000,17000,1,141009,5,,,
510805,0,12,800,36000,0,141002,12,,,
510806,0,15,900,53000,0,141064,15,,,
