塔Id,中文名称,塔类型,塔攻击类型,塔的等级,前置塔,后置,塔基础攻击,塔最大攻击,攻击间隔时间,攻击范围,范围攻击影响范围,士兵配置,战斗内升级价格,解锁消耗材料,其他需要的资源,武器,技能,冷却时间
configId,*TowerName,type,attacktype,level,preTowerId,nextTowerId,minAtk,maxAtk,atkInterval,atkArea,atkRange,soldierId,buyGold,upgradeCostItems,otherResIds,weapon,skills,coolTime
111001,新兵兵营,1,1,0,0,111002,50,100,1000,130,0,12112,70,,,,,0
111002,步兵兵营,1,1,1,111001,111003,100,150,1000,135,0,12113,100,888888:500,,,,0
111003,精锐兵营,1,1,2,111002,111004:111005:111006,165,335,1000,140,0,12114,160,"888888:1000,133136:5",,,,180
111004,骑士训练营,1,1,3,111003,,365,535,1000,145,0,12115,240,"888888:2000,133136:25",,,"152032,152033:152033:100,1520321,1520331:152033:100,1520322,1520332:152033:100",180
111005,角斗士训练场,1,1,3,111003,,465,670,1000,145,0,12116,290,"888888:2500,133136:30",,,"152034,152035:152035:90,1520341,1520351:152035:90,1520342,1520352:152035:90",180
111006,牧师祠堂,1,1,3,111003,,330,500,1500,145,0,12117,220,"888888:3000,133136:40",,,"152036:1:80,152037:1:70,1520361:1:80,1520371:1:70,1520362:1:80,1520372:1:70",180
112007,箭手之塔,2,1,0,0,112008,130,220,650,140,0,,70,,,20011,,0
112008,射手之塔,2,1,1,112007,112009,230,370,600,150,0,,100,888888:500,,20011,,0
112009,神射手之塔,2,1,2,112008,112010:112011:112012,330,535,550,160,0,,160,"888888:1000,133136:5",,20011,,180
112010,森林游击队,2,1,3,112009,,365,600,500,170,0,,245,"888888:2000,133136:25",,20011,"152038,152039,1520381,1520391,1520382,1520392",180
112011,火枪守卫队,2,1,3,112009,,830,1500,1200,210,0,,260,"888888:2500,133136:30",,20012,"152040:152040:100,152041:-3:100,1520401:152040:100,1520411:-3:100,1520402:152040:100,1520412:-3:100",180
112012,刺客之塔,2,1,3,112009,,600,935,800,170,0,,250,"888888:3000,133136:40",,20013,"152042:-3:100,152043:152043:100,1520421:-3:100,1520431:152043:100,1520422:-3:100,1520432:152043:100",180
113013,见习法师塔,3,2,0,0,113014,265,500,1300,140,0,,90,,,20020,,0
113014,熟练法师塔,3,2,1,113013,113015,600,1070,1300,150,0,,120,888888:500,,20020,,0
113015,巫师之塔,3,2,2,113014,113016:113017:113018,900,1600,1300,160,0,,180,"888888:1000,133136:5",,20020,,180
113016,神秘之塔,3,2,3,113015,,1000,1670,1300,170,0,,260,"888888:2000,133136:25",,20023,"152050:1:100,152051:1:100,1520501:1:100,1520511:1:100,1520502:1:100,1520512:1:100",180
113017,女巫塔,3,2,3,113015,,1530,2900,2000,170,0,,320,"888888:2500,133136:30",OrganismSkillBuffer_220063,20024,"152052:1:100,152055:1:100,1520521:1:100,1520551:1:100,1520522:1:100,1520552:1:100",180
113018,男巫塔,3,2,3,113015,,1200,2220,1600,170,0,,270,888888:3000133136:40,,20025,"152053:1:100,152054:1:100,1520531:1:100,1520541:1:100,1520532:1:100,1520542:1:100",180
114019,石炮,4,1,0,0,114020,200,400,2500,150,0,,100,,,20014,,0
114020,榴弹炮,4,1,1,114019,114021,400,800,2400,160,0,,180,888888:500,,20015,,0
114021,皇家巨炮,4,1,2,114020,114022:114023:114024,800,1070,2300,170,0,,270,"888888:1000,133136:5",,20016,,180
114022,重型加农炮,4,1,3,114021,,1130,1470,2200,190,0,,320,"888888:2000,133136:25",,20017,"152044:-3:100,152045:-3:100,1520441:-3:100,1520451:-3:100,1520442:-3:100,1520452:-3:100",180
114023,龙息塔,4,1,3,114021,,100,135,200,190,55,,320,"888888:2500,133136:30",OrganismSkillBuffer_221021,20018,"152046:-3:100,152047:152047:100,1520461:-3:100,1520471:152047:100,1520462:-3:100,1520472:152047:100",180
114024,滚油塔,4,1,3,114021,,530,1200,1450,190,55,,320,888888:3000133136:40,,20019,"152048,152049:0:100,1520481,1520491:0:100,1520482,1520492:0:100",180
